iter	Passed	Remaining
443	11659	14600
444	11686	14575
445	11716	14554
446	11742	14527
447	11768	14500
448	11795	14475
449	11819	14446
450	11845	14419
451	11871	14392
452	11897	14366
453	11924	14340
454	11951	14315
455	11979	14291
456	12006	14265
457	12031	14238
458	12059	14213
459	12087	14189
460	12115	14164
461	12144	14142
462	12169	14114
463	12195	14087
464	12221	14061
465	12255	14043
466	12285	14022
467	12312	13996
468	12342	13974
469	12373	13953
470	12401	13928
471	12431	13906
472	12458	13880
473	12488	13858
474	12516	13834
475	12542	13807
476	12568	13780
477	12594	13753
478	12620	13726
479	12648	13702
480	12674	13676
481	12702	13650
482	12728	13624
483	12753	13596
484	12783	13574
485	12809	13547
486	12835	13521
487	12861	13493
488	12886	13466
489	12912	13439
490	12937	13411
491	12960	13382
492	12987	13356
493	13013	13330
494	13038	13301
495	13061	13272
496	13087	13245
497	13111	13216
498	13136	13189
499	13162	13162
500	13187	13134
501	13211	13105
502	13236	13078
503	13259	13048
504	13285	13022
505	13311	12995
506	13336	12968
507	13362	12941
508	13387	12914
509	13414	12888
510	13439	12860
511	13465	12834
512	13490	12806
513	13515	12779
514	13540	12751
515	13566	12725
516	13592	12698
517	13619	12673
518	13644	12645
519	13669	12618
520	13697	12593
521	13723	12567
522	13753	12544
523	13781	12519
524	13810	12495
525	13838	12470
526	13864	12443
527	13886	12413
528	13911	12386
529	13938	12360
530	13962	12332
531	13987	12305
532	14013	12277
533	14037	12250
534	14064	12224
535	14091	12198
536	14116	12171
537	14143	12145
538	14168	12118
539	14194	12091
540	14219	12064
541	14245	12037
542	14270	12010
543	14296	11983
544	14323	11958
545	14350	11932
546	14377	11906
547	14398	11876
548	14425	11850
549	14450	11823
550	14474	11794
551	14499	11767
552	14524	11740
553	14551	11714
554	14575	11686
555	14599	11658
556	14626	11633
557	14651	11605
558	14675	11577
559	14700	11550
560	14724	11522
561	14750	11495
562	14776	11469
563	14800	11441
564	14825	11414
565	14849	11386
566	14876	11360
567	14903	11335
568	14925	11305
569	14950	11278
570	14975	11251
571	14999	11223
572	15021	11194
573	15046	11166
574	15071	11139
575	15096	11112
576	15121	11085
577	15147	11059
578	15176	11034
579	15200	11007
580	15226	10980
581	15251	10954
582	15277	10927
583	15302	10900
584	15329	10874
585	15357	10849
586	15387	10826
587	15420	10805
588	15450	10781
589	15481	10758
590	15510	10734
591	15537	10707
592	15562	10680
593	15585	10652
594	15609	10624
595	15634	10597
596	15660	10571
597	15685	10544
598	15710	10517
599	15734	10489
600	15760	10463
601	15788	10437
602	15813	10411
603	15837	10383
604	15860	10355
605	15887	10329
606	15912	10302
607	15936	10275
608	15962	10248
609	15992	10224
610	16026	10203
611	16050	10175
612	16073	10147
613	16097	10120
614	16124	10093
615	16147	10066
616	16170	10037
617	16198	10012
618	16225	9986
619	16253	9961
620	16277	9934
621	16303	9907
622	16327	9880
623	16352	9853
624	16379	9827
625	16406	9802
626	16431	9774
627	16455	9747
628	16480	9720
629	16504	9693
630	16530	9666
631	16556	9640
632	16584	9615
633	16608	9587
634	16633	9560
635	16658	9534
636	16685	9508
637	16711	9482
638	16737	9456
639	16764	9429
640	16791	9404
641	16813	9375
642	16837	9348
643	16861	9321
644	16886	9294
645	16911	9267
646	16936	9240
647	16961	9213
648	16990	9188
649	17017	9163
650	17042	9136
651	17066	9109
652	17094	9084
653	17134	9065
654	17165	9041
655	17190	9014
656	17215	8987
657	17240	8961
658	17267	8934
659	17293	8908
660	17320	8883
661	17344	8855
662	17369	8828
663	17393	8801
664	17415	8773
665	17437	8745
666	17461	8717
667	17483	8689
668	17506	8661
669	17529	8633
670	17552	8606
671	17577	8579
672	17600	8551
673	17624	8524
674	17647	8496
675	17673	8470
676	17697	8443
677	17721	8416
678	17745	8389
679	17769	8362
680	17793	8335
681	17817	8308
682	17841	8280
683	17864	8253
684	17889	8226
685	17914	8200
686	17942	8174
687	17966	8147
688	17991	8121
689	18017	8094
690	18044	8069
691	18071	8043
692	18097	8017
693	18125	7991
694	18151	7965
695	18177	7939
696	18206	7914
697	18232	7888
698	18259	7862
699	18283	7835
700	18310	7810
701	18339	7785
702	18367	7759
703	18396	7734
704	18422	7708
705	18448	7682
706	18474	7656
707	18499	7629
708	18525	7603
709	18550	7576
710	18574	7550
711	18599	7523
712	18626	7497
713	18651	7471
714	18677	7444
715	18704	7419
716	18728	7392
717	18755	7366
718	18779	7339
719	18806	7313
720	18833	7287
721	18863	7263
722	18908	7244
723	18934	7218
724	18959	7191
725	18987	7166
726	19013	7139
727	19036	7112
728	19061	7085
729	19085	7058
730	19110	7032
731	19134	7005
732	19158	6978
733	19181	6951
734	19206	6924
735	19230	6897
736	19253	6870
737	19275	6843
738	19301	6816
739	19324	6789
740	19348	6762
741	19372	6735
742	19395	6708
743	19419	6681
744	19443	6655
745	19466	6628
746	19490	6601
747	19512	6573
748	19536	6546
749	19559	6519
750	19582	6492
751	19606	6465
752	19631	6439
753	19653	6412
754	19677	6385
755	19700	6358
756	19723	6331
757	19746	6304
758	19769	6277
759	19793	6250
760	19819	6224
761	19843	6197
762	19870	6171
763	19894	6145
764	19917	6118
765	19939	6091
766	19960	6063
767	19983	6036
768	20006	6009
769	20030	5983
770	20054	5956
771	20078	5929
772	20103	5903
773	20129	5877
774	20153	5850
775	20175	5823
776	20197	5796
777	20221	5770
778	20246	5743
779	20269	5717
780	20294	5690
781	20318	5664
782	20342	5637
783	20366	5611
784	20389	5584
785	20410	5557
786	20432	5529
787	20455	5503
788	20478	5476
789	20502	5449
790	20525	5423
791	20550	5397
792	20573	5370
793	20596	5343
794	20619	5317
795	20644	5290
796	20668	5264
797	20690	5237
798	20713	5210
799	20737	5184
800	20761	5157
801	20784	5131
802	20809	5105
803	20832	5078
804	20855	5051
805	20879	5025
806	20901	4998
807	20924	4972
808	20948	4945
809	20971	4919
810	20997	4893
811	21021	4866
812	21045	4840
813	21066	4813
814	21088	4787
815	21111	4760
816	21134	4734
817	21158	4707
818	21180	4680
819	21202	4654
820	21226	4627
821	21247	4601
822	21271	4574
823	21294	4548
824	21318	4522
825	21340	4495
826	21364	4469
827	21386	4442
828	21408	4416
829	21431	4389
830	21455	4363
831	21479	4337
832	21501	4310
833	21525	4284
834	21549	4258
835	21573	4232
836	21595	4205
837	21618	4179
838	21641	4152
839	21665	4126
840	21688	4100
841	21711	4074
842	21736	4048
843	21762	4022
844	21787	3996
845	21810	3970
846	21833	3944
847	21857	3917
848	21880	3891
849	21904	3865
850	21927	3839
851	21952	3813
852	21975	3787
853	21999	3761
854	22021	3734
855	22044	3708
856	22070	3682
857	22095	3656
858	22119	3630
859	22144	3604
860	22167	3578
861	22190	3552
862	22214	3526
863	22238	3500
864	22262	3474
865	22284	3448
866	22309	3422
867	22334	3396
868	22358	3370
869	22382	3344
870	22407	3318
871	22429	3292
872	22452	3266
873	22474	3240
874	22497	3213
875	22518	3187
876	22542	3161
877	22565	3135
878	22587	3109
879	22611	3083
880	22633	3057
881	22657	3031
882	22681	3005
883	22705	2979
884	22729	2953
885	22749	2927
886	22770	2900
887	22792	2874
888	22814	2848
889	22839	2822
890	22863	2796
891	22884	2770
892	22907	2744
893	22928	2718
894	22950	2692
895	22971	2666
896	22994	2640
897	23015	2614
898	23039	2588
899	23065	2562
900	23089	2537
901	23111	2511
902	23137	2485
903	23159	2459
904	23183	2433
905	23210	2408
906	23240	2382
907	23264	2357
908	23290	2331
909	23313	2305
910	23336	2279
911	23358	2253
912	23383	2228
913	23405	2202
914	23430	2176
915	23453	2150
916	23478	2125
917	23501	2099
918	23526	2073
919	23552	2048
920	23576	2022
921	23601	1996
922	23626	1971
923	23650	1945
924	23674	1919
925	23698	1893
926	23720	1867
927	23744	1842
928	23769	1816
929	23811	1792
930	23839	1766
931	23860	1740
932	23885	1715
933	23909	1689
934	23931	1663
935	23956	1638
936	23980	1612
937	24004	1586
938	24029	1561
939	24051	1535
940	24074	1509
941	24099	1483
942	24123	1458
943	24147	1432
944	24173	1406
945	24198	1381
946	24223	1355
947	24247	1330
948	24273	1304
949	24298	1278
950	24324	1253
951	24348	1227
952	24373	1202
953	24399	1176
954	24425	1150
955	24450	1125
956	24475	1099
957	24500	1074
958	24527	1048
959	24552	1023
960	24576	997
961	24600	971
962	24625	946
963	24649	920
964	24676	894
965	24700	869
966	24727	843
967	24751	818
968	24774	792
969	24796	766
970	24822	741
971	24849	715
972	24876	690
973	24902	664
974	24927	639
975	24951	613
976	24976	587
977	24999	562
978	25026	536
979	25052	511
980	25075	485
981	25099	460
982	25125	434
983	25149	408
984	25175	383
985	25198	357
986	25223	332
987	25249	306
988	25275	281
989	25301	255
990	25324	229
991	25347	204
992	25376	178
993	25401	153
994	25425	127
995	25449	102
996	25472	76
997	25496	51
998	25519	25
999	25543	0
