iter	Logloss
0	0.6893326565
1	0.6861690437
2	0.6761515969
3	0.6556111713
4	0.6532962968
5	0.6402541956
6	0.6311837331
7	0.6255582208
8	0.6223110782
9	0.6128823389
10	0.6050459119
11	0.6044249412
12	0.5989627911
13	0.5978936276
14	0.5942809575
15	0.5927452938
16	0.5911615158
17	0.587403427
18	0.5845223323
19	0.5830561082
20	0.5816364964
21	0.5802534365
22	0.57698998
23	0.5734727444
24	0.5691641247
25	0.5630858237
26	0.5594140739
27	0.5569030079
28	0.553451985
29	0.5518082468
30	0.5494308348
31	0.5477269021
32	0.5444041678
33	0.5433538205
34	0.541300054
35	0.5396155627
36	0.5380828784
37	0.5363677507
38	0.5348872931
39	0.532918754
40	0.5322821688
41	0.5295564461
42	0.5280658906
43	0.5268494604
44	0.5238438323
45	0.5228787423
46	0.5215836678
47	0.5210322685
48	0.5205946797
49	0.5188368281
50	0.5177819762
51	0.5172472119
52	0.5170058224
53	0.5167972149
54	0.5163238557
55	0.5162069917
56	0.5159742247
57	0.5154327776
58	0.5144868091
59	0.5132771365
60	0.5118652071
61	0.5116389496
62	0.5098901735
63	0.5088605682
64	0.5087341267
65	0.5070075588
66	0.5055215703
67	0.5049439209
68	0.5043806023
69	0.5040417473
70	0.5028890685
71	0.5018009566
72	0.5016552322
73	0.5007210027
74	0.5000067437
75	0.4991723801
76	0.4980565301
77	0.4971528053
78	0.4969427337
79	0.4955247784
80	0.4953139204
81	0.4950886873
82	0.493750243
83	0.4930508041
84	0.4928368706
85	0.491852377
86	0.4912840508
87	0.4907112784
88	0.4906060932
89	0.4899637907
90	0.4897328376
91	0.4893661495
92	0.4890302866
93	0.488960822
94	0.4886063563
95	0.4877580689
96	0.487131462
97	0.4868424357
98	0.4867414711
99	0.4864449238
100	0.4859182716
101	0.4857466434
102	0.4855001909
103	0.4853610405
104	0.4849324278
105	0.4846024623
106	0.4841768578
107	0.4841062245
108	0.4838749896
109	0.4836257861
110	0.4831978406
111	0.4830116115
112	0.4822926568
113	0.4821157031
114	0.4819714072
115	0.4816082333
116	0.4807852672
117	0.480347215
118	0.4803066076
119	0.4773988845
120	0.4767223038
121	0.4757948247
122	0.4753040978
123	0.4749901866
124	0.4742689064
125	0.4737523533
126	0.4715380526
127	0.4710960154
128	0.4693862441
129	0.4679106378
130	0.4675081902
131	0.4642458779
132	0.4635674839
133	0.4631152644
134	0.4627521064
135	0.4609315757
136	0.4606666345
137	0.4603122976
138	0.4590426917
139	0.4587844478
140	0.4585475557
141	0.4583174306
142	0.4558216022
143	0.4544263907
144	0.4534321227
145	0.453087457
146	0.4528982818
147	0.4517407864
148	0.4515642382
149	0.4513519167
150	0.4510809977
151	0.4503321928
152	0.450114389
153	0.4499703168
154	0.4493621903
155	0.4487741936
156	0.4485786553
157	0.4484288925
158	0.4476377364
159	0.4471653309
160	0.4468908715
161	0.4466922551
162	0.4465364545
163	0.4463482547
164	0.4459491381
165	0.4457570968
166	0.4451814505
167	0.4450836075
168	0.4449200236
169	0.4444329553
170	0.4437583937
171	0.4434285145
172	0.4431500671
173	0.4430045629
174	0.4428173818
175	0.4426578975
176	0.4424970038
177	0.4422932404
178	0.4421806013
179	0.4420150438
180	0.4418579874
181	0.4416997611
182	0.4414806444
183	0.4412577134
184	0.4409356919
185	0.4407532027
186	0.4406196056
187	0.4404658
188	0.4402767099
189	0.4401147886
190	0.4399709258
191	0.4398478361
192	0.4396929235
193	0.4395914895
